DepartureCity,ArrivalCity,DepartureTime,ArrivalTime,DepartureTimezone,ArrivalTimezone,AirlineCode,EffectiveDate,FlightNumber,DayOfOperationMonday,DayOfOperationTuesday,DayOfOperationWednesday,DayOfOperationThursday,DayOfOperationFriday,DayOfOperationSaturday,DayOfOperationSunday,DiscontinueDate,ScheduleEffectiveDate,VariationDepartureTimeCode,VariationArrivalTimeCode,FlightDistance
SEA,SFO,1830,2041,-700,-700,NEO,4/27/16,214,,,,,5,,,4/30/16,00:00.0,0,0,679
SFO,ORD,2250,454,-700,-500,NEO,4/27/16,214,,,,,5,,,4/30/16,00:00.0,0,1,1841
SEA,SFO,1830,2041,-700,-700,NEO,4/27/16,214,,,,4,,,,4/30/16,00:00.0,0,0,679
SFO,ORD,2250,454,-700,-500,NEO,4/27/16,214,,,,4,,,,4/30/16,00:00.0,0,1,1841
SEA,SFO,1830,2041,-700,-700,NEO,4/27/16,214,,,3,,,,,4/30/16,00:00.0,0,0,679
SFO,ORD,2250,454,-700,-500,NEO,4/27/16,214,,,3,,,,,4/30/16,00:00.0,0,1,1841
SEA,SFO,1830,2041,-700,-700,NEO,4/27/16,214,,,,,,6,,4/30/16,00:00.0,0,0,679
SFO,ORD,2250,454,-700,-500,NEO,4/27/16,214,,,,,,6,,4/30/16,00:00.0,0,1,1841
SEA,SFO,1830,2041,-700,-700,NEO,5/4/16,214,,,3,,,,,5/4/16,00:00.0,0,0,679
SFO,ORD,2250,454,-700,-500,NEO,5/4/16,214,,,3,,,,,5/4/16,00:00.0,0,1,1841
SEA,SFO,1836,2045,-700,-700,NEO,5/5/16,214,,,,4,,,,5/6/16,00:00.0,0,0,679
SFO,ORD,2256,500,-700,-500,NEO,5/5/16,214,,,,4,,,,5/6/16,00:00.0,0,1,1841
SEA,SFO,1836,2045,-700,-700,NEO,5/5/16,214,,,,,5,,,5/6/16,00:00.0,0,0,679
SEA,SFO,1836,2044,-700,-700,NEO,5/7/16,214,,,,,,,7,5/8/16,00:00.0,0,0,679
SFO,ORD,2256,500,-700,-500,NEO,5/7/16,214,,,,,,,7,5/8/16,00:00.0,0,1,1841
SEA,SFO,1836,2045,-700,-700,NEO,5/7/16,214,,,,,,6,,5/8/16,00:00.0,0,0,679
SFO,ORD,2256,500,-700,-500,NEO,5/7/16,214,,,,,,6,,5/8/16,00:00.0,0,1,1841
SEA,SFO,1836,2045,-700,-700,NEO,5/9/16,214,1,,,,,,,5/14/16,00:00.0,0,0,679
SFO,ORD,2256,500,-700,-500,NEO,5/9/16,214,1,,,,,,,5/14/16,00:00.0,0,1,1841
SEA,SFO,1832,2044,-700,-700,NEO,5/9/16,214,,2,,,,,,5/14/16,00:00.0,0,0,679
SFO,ORD,2256,500,-700,-500,NEO,5/9/16,214,,2,,,,,,5/14/16,00:00.0,0,1,1841
SEA,SFO,1836,2044,-700,-700,NEO,5/9/16,214,,,3,,,,,5/14/16,00:00.0,0,0,679
SFO,ORD,2256,500,-700,-500,NEO,5/9/16,214,,,3,,,,,5/14/16,00:00.0,0,1,1841
SEA,SFO,1836,2045,-700,-700,NEO,5/9/16,214,,,,4,,,,5/14/16,00:00.0,0,0,679
SFO,ORD,2256,500,-700,-500,NEO,5/9/16,214,,,,4,,,,5/14/16,00:00.0,0,1,1841
SEA,SFO,1836,2045,-700,-700,NEO,5/9/16,214,,,,,5,,,5/14/16,00:00.0,0,0,679
SEA,SFO,1836,2045,-700,-700,NEO,5/9/16,214,,,,,,6,,5/14/16,00:00.0,0,0,679
SFO,ORD,2256,500,-700,-500,NEO,5/9/16,214,,,,,,6,,5/14/16,00:00.0,0,1,1841
